device,/dev/nvme0n1
nsid,1
zone_size,134217728
target_zone,13
target_offset,1744830464
target_slba,3407872
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,1744830464,671
1,1744834560,593
2,1744838656,565
3,1744842752,562
4,1744846848,557
5,1744850944,569
6,1744855040,590
7,1744859136,652
8,1744863232,609
9,1744867328,645
10,1744871424,593
11,1744875520,593
12,1744879616,591
13,1744883712,590
14,1744887808,609
15,1744891904,559
16,1744896000,592
17,1744900096,594
18,1744904192,592
19,1744908288,597
20,1744912384,593
21,1744916480,593
22,1744920576,557
23,1744924672,601
24,1744928768,591
25,1744932864,597
26,1744936960,590
27,1744941056,567
28,1744945152,593
29,1744949248,594
30,1744953344,558
31,1744957440,597
32,1744961536,580
33,1744965632,594
34,1744969728,618
35,1744973824,586
36,1744977920,587
37,1744982016,593
38,1744986112,601
39,1744990208,595
40,1744994304,572
41,1744998400,594
42,1745002496,564
43,1745006592,590
44,1745010688,592
45,1745014784,588
46,1745018880,601
47,1745022976,559
48,1745027072,587
49,1745031168,595
50,1745035264,654
51,1745039360,588
52,1745043456,558
53,1745047552,588
54,1745051648,595
55,1745055744,570
56,1745059840,589
57,1745063936,559
58,1745068032,585
59,1745072128,591
60,1745076224,596
61,1745080320,600
62,1745084416,588
63,1745088512,592
64,1745092608,591
65,1745096704,565
66,1745100800,590
67,1745104896,559
68,1745108992,585
69,1745113088,602
70,1745117184,597
71,1745121280,594
72,1745125376,595
73,1745129472,605
74,1745133568,595
75,1745137664,594
76,1745141760,596
77,1745145856,568
78,1745149952,592
79,1745154048,597
80,1745158144,593
81,1745162240,595
82,1745166336,616
83,1745170432,595
84,1745174528,593
85,1745178624,596
86,1745182720,595
87,1745186816,603
88,1745190912,620
89,1745195008,599
90,1745199104,570
91,1745203200,597
92,1745207296,597
93,1745211392,595
94,1745215488,595
95,1745219584,595
96,1745223680,598
97,1745227776,573
98,1745231872,628
99,1745235968,598
100,1745240064,655
101,1745244160,598
102,1745248256,596
103,1745252352,595
104,1745256448,596
105,1745260544,599
106,1745264640,583
107,1745268736,593
108,1745272832,564
109,1745276928,591
110,1745281024,593
111,1745285120,596
112,1745289216,593
113,1745293312,595
114,1745297408,594
115,1745301504,596
116,1745305600,660
117,1745309696,593
118,1745313792,626
119,1745317888,595
120,1745321984,612
121,1745326080,571
122,1745330176,596
123,1745334272,596
124,1745338368,661
125,1745342464,605
126,1745346560,597
127,1745350656,597
128,1745354752,595
129,1745358848,594
130,1745362944,593
131,1745367040,580
132,1745371136,597
133,1745375232,598
134,1745379328,598
135,1745383424,595
136,1745387520,596
137,1745391616,595
138,1745395712,615
139,1745399808,597
140,1745403904,595
141,1745408000,597
142,1745412096,578
143,1745416192,596
144,1745420288,562
145,1745424384,591
146,1745428480,596
147,1745432576,601
148,1745436672,596
149,1745440768,597
150,1745444864,595
151,1745448960,596
152,1745453056,595
153,1745457152,595
154,1745461248,568
155,1745465344,592
156,1745469440,595
157,1745473536,593
158,1745477632,596
159,1745481728,594
160,1745485824,598
161,1745489920,594
162,1745494016,596
163,1745498112,594
164,1745502208,584
165,1745506304,597
166,1745510400,595
167,1745514496,596
168,1745518592,595
169,1745522688,595
170,1745526784,594
171,1745530880,617
172,1745534976,594
173,1745539072,593
174,1745543168,595
175,1745547264,585
176,1745551360,596
177,1745555456,559
178,1745559552,590
179,1745563648,596
180,1745567744,595
181,1745571840,598
182,1745575936,597
183,1745580032,593
184,1745584128,595
185,1745588224,647
186,1745592320,597
187,1745596416,617
188,1745600512,595
189,1745604608,622
190,1745608704,570
191,1745612800,594
192,1745616896,595
193,1745620992,601
194,1745625088,598
195,1745629184,595
196,1745633280,596
197,1745637376,594
198,1745641472,595
199,1745645568,596
200,1745649664,560
201,1745653760,592
202,1745657856,595
203,1745661952,607
204,1745666048,595
205,1745670144,596
206,1745674240,598
207,1745678336,595
208,1745682432,597
209,1745686528,593
210,1745690624,626
211,1745694720,594
212,1745698816,596
213,1745702912,572
214,1745707008,595
215,1745711104,595
216,1745715200,596
217,1745719296,596
218,1745723392,596
219,1745727488,595
220,1745731584,597
221,1745735680,569
222,1745739776,594
223,1745743872,561
224,1745747968,592
225,1745752064,593
226,1745756160,584
227,1745760256,593
228,1745764352,560
229,1745768448,590
230,1745772544,597
231,1745776640,594
232,1745780736,594
233,1745784832,596
234,1745788928,596
235,1745793024,598
236,1745797120,595
237,1745801216,595
238,1745805312,559
239,1745809408,593
240,1745813504,593
241,1745817600,597
242,1745821696,595
243,1745825792,596
244,1745829888,597
245,1745833984,595
246,1745838080,594
247,1745842176,595
248,1745846272,646
249,1745850368,595
250,1745854464,608
251,1745858560,570
252,1745862656,601
253,1745866752,601
254,1745870848,652
255,1745874944,597
