device,/dev/nvme0n1
nsid,1
zone_size,134217728
target_zone,13
target_offset,1744830464
target_slba,3407872
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,1744830464,716
1,1744834560,591
2,1744838656,579
3,1744842752,607
4,1744846848,573
5,1744850944,594
6,1744855040,592
7,1744859136,588
8,1744863232,567
9,1744867328,568
10,1744871424,612
11,1744875520,592
12,1744879616,616
13,1744883712,567
14,1744887808,593
15,1744891904,566
16,1744896000,590
17,1744900096,601
18,1744904192,567
19,1744908288,593
20,1744912384,653
21,1744916480,574
22,1744920576,565
23,1744924672,594
24,1744928768,592
25,1744932864,591
26,1744936960,596
27,1744941056,594
28,1744945152,567
29,1744949248,648
30,1744953344,593
31,1744957440,568
32,1744961536,576
33,1744965632,560
34,1744969728,588
35,1744973824,560
36,1744977920,598
37,1744982016,599
38,1744986112,559
39,1744990208,588
40,1744994304,593
41,1744998400,601
42,1745002496,561
43,1745006592,573
44,1745010688,591
45,1745014784,594
46,1745018880,599
47,1745022976,593
48,1745027072,567
49,1745031168,592
50,1745035264,595
51,1745039360,658
52,1745043456,595
53,1745047552,607
54,1745051648,594
55,1745055744,557
56,1745059840,589
57,1745063936,593
58,1745068032,580
59,1745072128,593
60,1745076224,594
61,1745080320,567
62,1745084416,632
63,1745088512,595
64,1745092608,598
65,1745096704,597
66,1745100800,597
67,1745104896,599
68,1745108992,607
69,1745113088,605
70,1745117184,595
71,1745121280,562
72,1745125376,595
73,1745129472,598
74,1745133568,599
75,1745137664,599
76,1745141760,595
77,1745145856,598
78,1745149952,595
79,1745154048,604
80,1745158144,595
81,1745162240,667
82,1745166336,598
83,1745170432,596
84,1745174528,571
85,1745178624,598
86,1745182720,597
87,1745186816,597
88,1745190912,600
89,1745195008,596
90,1745199104,618
91,1745203200,598
92,1745207296,596
93,1745211392,598
94,1745215488,653
95,1745219584,596
96,1745223680,598
97,1745227776,571
98,1745231872,597
99,1745235968,597
100,1745240064,596
101,1745244160,598
102,1745248256,594
103,1745252352,597
104,1745256448,598
105,1745260544,599
106,1745264640,593
107,1745268736,559
108,1745272832,593
109,1745276928,598
110,1745281024,596
111,1745285120,573
112,1745289216,594
113,1745293312,596
114,1745297408,597
115,1745301504,598
116,1745305600,594
117,1745309696,589
118,1745313792,594
119,1745317888,597
120,1745321984,572
121,1745326080,596
122,1745330176,597
123,1745334272,597
124,1745338368,596
125,1745342464,595
126,1745346560,596
127,1745350656,621
128,1745354752,602
129,1745358848,597
130,1745362944,571
131,1745367040,605
132,1745371136,597
133,1745375232,639
134,1745379328,599
135,1745383424,595
136,1745387520,598
137,1745391616,598
138,1745395712,570
139,1745399808,596
140,1745403904,649
141,1745408000,605
142,1745412096,596
143,1745416192,603
144,1745420288,594
145,1745424384,596
146,1745428480,595
147,1745432576,597
148,1745436672,559
149,1745440768,594
150,1745444864,597
151,1745448960,597
152,1745453056,596
153,1745457152,560
154,1745461248,594
155,1745465344,597
156,1745469440,562
157,1745473536,591
158,1745477632,596
159,1745481728,594
160,1745485824,599
161,1745489920,578
162,1745494016,596
163,1745498112,594
164,1745502208,597
165,1745506304,596
166,1745510400,597
167,1745514496,600
168,1745518592,594
169,1745522688,595
170,1745526784,595
171,1745530880,569
172,1745534976,597
173,1745539072,596
174,1745543168,597
175,1745547264,596
176,1745551360,594
177,1745555456,597
178,1745559552,605
179,1745563648,597
180,1745567744,597
181,1745571840,570
182,1745575936,595
183,1745580032,594
184,1745584128,597
185,1745588224,595
186,1745592320,597
187,1745596416,596
188,1745600512,597
189,1745604608,595
190,1745608704,596
191,1745612800,559
192,1745616896,592
193,1745620992,597
194,1745625088,594
195,1745629184,597
196,1745633280,595
197,1745637376,596
198,1745641472,597
199,1745645568,597
200,1745649664,596
201,1745653760,638
202,1745657856,594
203,1745661952,615
204,1745666048,570
205,1745670144,598
206,1745674240,603
207,1745678336,599
208,1745682432,596
209,1745686528,602
210,1745690624,596
211,1745694720,594
212,1745698816,597
213,1745702912,595
214,1745707008,628
215,1745711104,596
216,1745715200,597
217,1745719296,595
218,1745723392,597
219,1745727488,597
220,1745731584,605
221,1745735680,594
222,1745739776,562
223,1745743872,593
224,1745747968,595
225,1745752064,598
226,1745756160,597
227,1745760256,599
228,1745764352,594
229,1745768448,597
230,1745772544,570
231,1745776640,598
232,1745780736,560
233,1745784832,593
234,1745788928,593
235,1745793024,583
236,1745797120,595
237,1745801216,564
238,1745805312,596
239,1745809408,609
240,1745813504,594
241,1745817600,595
242,1745821696,597
243,1745825792,594
244,1745829888,598
245,1745833984,594
246,1745838080,598
247,1745842176,644
248,1745846272,595
249,1745850368,615
250,1745854464,571
251,1745858560,595
252,1745862656,606
253,1745866752,601
254,1745870848,598
255,1745874944,596
