device,/dev/nvme0n1
nsid,1
zone_size,134217728
target_zone,13
target_offset,1744830464
target_slba,3407872
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,1744830464,740
1,1744834560,635
2,1744838656,651
3,1744842752,636
4,1744846848,559
5,1744850944,634
6,1744855040,639
7,1744859136,636
8,1744863232,568
9,1744867328,640
10,1744871424,644
11,1744875520,621
12,1744879616,633
13,1744883712,653
14,1744887808,636
15,1744891904,641
16,1744896000,629
17,1744900096,640
18,1744904192,635
19,1744908288,639
20,1744912384,640
21,1744916480,637
22,1744920576,567
23,1744924672,559
24,1744928768,646
25,1744932864,631
26,1744936960,640
27,1744941056,625
28,1744945152,640
29,1744949248,560
30,1744953344,635
31,1744957440,635
32,1744961536,632
33,1744965632,568
34,1744969728,638
35,1744973824,622
36,1744977920,636
37,1744982016,600
38,1744986112,559
39,1744990208,651
40,1744994304,634
41,1744998400,569
42,1745002496,559
43,1745006592,634
44,1745010688,627
45,1745014784,628
46,1745018880,567
47,1745022976,641
48,1745027072,619
49,1745031168,627
50,1745035264,629
51,1745039360,659
52,1745043456,629
53,1745047552,635
54,1745051648,637
55,1745055744,648
56,1745059840,629
57,1745063936,558
58,1745068032,625
59,1745072128,635
60,1745076224,575
61,1745080320,560
62,1745084416,629
63,1745088512,630
64,1745092608,632
65,1745096704,568
66,1745100800,634
67,1745104896,607
68,1745108992,638
69,1745113088,600
70,1745117184,642
71,1745121280,639
72,1745125376,639
73,1745129472,638
74,1745133568,642
75,1745137664,637
76,1745141760,572
77,1745145856,633
78,1745149952,642
79,1745154048,635
80,1745158144,638
81,1745162240,645
82,1745166336,639
83,1745170432,643
84,1745174528,639
85,1745178624,643
86,1745182720,636
87,1745186816,628
88,1745190912,650
89,1745195008,644
90,1745199104,638
91,1745203200,644
92,1745207296,639
93,1745211392,640
94,1745215488,626
95,1745219584,635
96,1745223680,573
97,1745227776,633
98,1745231872,636
99,1745235968,643
100,1745240064,631
101,1745244160,631
102,1745248256,647
103,1745252352,636
104,1745256448,635
105,1745260544,647
106,1745264640,639
107,1745268736,561
108,1745272832,637
109,1745276928,636
110,1745281024,601
111,1745285120,638
112,1745289216,639
113,1745293312,632
114,1745297408,640
115,1745301504,634
116,1745305600,648
117,1745309696,641
118,1745313792,633
119,1745317888,638
120,1745321984,636
121,1745326080,599
122,1745330176,636
123,1745334272,640
124,1745338368,643
125,1745342464,642
126,1745346560,635
127,1745350656,572
128,1745354752,640
129,1745358848,638
130,1745362944,633
131,1745367040,640
132,1745371136,641
133,1745375232,647
134,1745379328,637
135,1745383424,633
136,1745387520,633
137,1745391616,640
138,1745395712,571
139,1745399808,646
140,1745403904,637
141,1745408000,635
142,1745412096,599
143,1745416192,636
144,1745420288,639
145,1745424384,637
146,1745428480,634
147,1745432576,646
148,1745436672,637
149,1745440768,560
150,1745444864,631
151,1745448960,638
152,1745453056,633
153,1745457152,633
154,1745461248,640
155,1745465344,633
156,1745469440,633
157,1745473536,642
158,1745477632,626
159,1745481728,634
160,1745485824,625
161,1745489920,641
162,1745494016,633
163,1745498112,642
164,1745502208,637
165,1745506304,637
166,1745510400,639
167,1745514496,636
168,1745518592,638
169,1745522688,571
170,1745526784,635
171,1745530880,638
172,1745534976,620
173,1745539072,639
174,1745543168,674
175,1745547264,659
176,1745551360,623
177,1745555456,635
178,1745559552,648
179,1745563648,638
180,1745567744,561
181,1745571840,648
182,1745575936,635
183,1745580032,631
184,1745584128,638
185,1745588224,643
186,1745592320,644
187,1745596416,639
188,1745600512,641
189,1745604608,594
190,1745608704,636
191,1745612800,633
192,1745616896,650
193,1745620992,637
194,1745625088,637
195,1745629184,634
196,1745633280,645
197,1745637376,638
198,1745641472,643
199,1745645568,635
200,1745649664,572
201,1745653760,645
202,1745657856,644
203,1745661952,641
204,1745666048,598
205,1745670144,638
206,1745674240,636
207,1745678336,645
208,1745682432,642
209,1745686528,645
210,1745690624,644
211,1745694720,561
212,1745698816,633
213,1745702912,631
214,1745707008,638
215,1745711104,639
216,1745715200,645
217,1745719296,644
218,1745723392,637
219,1745727488,639
220,1745731584,590
221,1745735680,642
222,1745739776,624
223,1745743872,647
224,1745747968,638
225,1745752064,636
226,1745756160,637
227,1745760256,633
228,1745764352,631
229,1745768448,655
230,1745772544,637
231,1745776640,571
232,1745780736,639
233,1745784832,633
234,1745788928,633
235,1745793024,637
236,1745797120,635
237,1745801216,644
238,1745805312,601
239,1745809408,636
240,1745813504,630
241,1745817600,644
242,1745821696,563
243,1745825792,636
244,1745829888,635
245,1745833984,636
246,1745838080,638
247,1745842176,631
248,1745846272,636
249,1745850368,634
250,1745854464,639
251,1745858560,646
252,1745862656,636
253,1745866752,655
254,1745870848,666
255,1745874944,636
