device,/dev/nvme0n1
nsid,1
zone_size,134217728
target_zone,13
target_offset,1744830464
target_slba,3407872
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,1744830464,743
1,1744834560,633
2,1744838656,625
3,1744842752,641
4,1744846848,634
5,1744850944,558
6,1744855040,563
7,1744859136,623
8,1744863232,619
9,1744867328,636
10,1744871424,678
11,1744875520,633
12,1744879616,559
13,1744883712,593
14,1744887808,630
15,1744891904,634
16,1744896000,566
17,1744900096,634
18,1744904192,630
19,1744908288,638
20,1744912384,630
21,1744916480,556
22,1744920576,623
23,1744924672,633
24,1744928768,566
25,1744932864,559
26,1744936960,627
27,1744941056,639
28,1744945152,639
29,1744949248,566
30,1744953344,631
31,1744957440,608
32,1744961536,636
33,1744965632,629
34,1744969728,626
35,1744973824,644
36,1744977920,630
37,1744982016,557
38,1744986112,582
39,1744990208,648
40,1744994304,577
41,1744998400,635
42,1745002496,625
43,1745006592,635
44,1745010688,552
45,1745014784,627
46,1745018880,637
47,1745022976,628
48,1745027072,566
49,1745031168,628
50,1745035264,610
51,1745039360,577
52,1745043456,631
53,1745047552,573
54,1745051648,633
55,1745055744,628
56,1745059840,605
57,1745063936,560
58,1745068032,631
59,1745072128,635
60,1745076224,632
61,1745080320,639
62,1745084416,635
63,1745088512,636
64,1745092608,627
65,1745096704,646
66,1745100800,633
67,1745104896,591
68,1745108992,637
69,1745113088,627
70,1745117184,641
71,1745121280,634
72,1745125376,635
73,1745129472,638
74,1745133568,640
75,1745137664,635
76,1745141760,636
77,1745145856,635
78,1745149952,570
79,1745154048,638
80,1745158144,639
81,1745162240,648
82,1745166336,636
83,1745170432,637
84,1745174528,635
85,1745178624,636
86,1745182720,633
87,1745186816,639
88,1745190912,612
89,1745195008,572
90,1745199104,637
91,1745203200,641
92,1745207296,639
93,1745211392,647
94,1745215488,635
95,1745219584,643
96,1745223680,639
97,1745227776,636
98,1745231872,639
99,1745235968,642
100,1745240064,638
101,1745244160,635
102,1745248256,633
103,1745252352,634
104,1745256448,631
105,1745260544,634
106,1745264640,635
107,1745268736,636
108,1745272832,634
109,1745276928,570
110,1745281024,634
111,1745285120,634
112,1745289216,635
113,1745293312,640
114,1745297408,635
115,1745301504,640
116,1745305600,633
117,1745309696,639
118,1745313792,637
119,1745317888,634
120,1745321984,571
121,1745326080,639
122,1745330176,633
123,1745334272,634
124,1745338368,637
125,1745342464,636
126,1745346560,637
127,1745350656,633
128,1745354752,639
129,1745358848,640
130,1745362944,636
131,1745367040,569
132,1745371136,638
133,1745375232,639
134,1745379328,638
135,1745383424,632
136,1745387520,638
137,1745391616,635
138,1745395712,639
139,1745399808,636
140,1745403904,639
141,1745408000,631
142,1745412096,647
143,1745416192,627
144,1745420288,595
145,1745424384,560
146,1745428480,631
147,1745432576,633
148,1745436672,632
149,1745440768,637
150,1745444864,635
151,1745448960,638
152,1745453056,634
153,1745457152,635
154,1745461248,633
155,1745465344,638
156,1745469440,632
157,1745473536,646
158,1745477632,632
159,1745481728,640
160,1745485824,638
161,1745489920,638
162,1745494016,644
163,1745498112,634
164,1745502208,634
165,1745506304,570
166,1745510400,643
167,1745514496,637
168,1745518592,638
169,1745522688,640
170,1745526784,638
171,1745530880,639
172,1745534976,640
173,1745539072,633
174,1745543168,631
175,1745547264,632
176,1745551360,561
177,1745555456,633
178,1745559552,634
179,1745563648,635
180,1745567744,634
181,1745571840,634
182,1745575936,636
183,1745580032,637
184,1745584128,634
185,1745588224,641
186,1745592320,632
187,1745596416,559
188,1745600512,632
189,1745604608,643
190,1745608704,640
191,1745612800,633
192,1745616896,638
193,1745620992,636
194,1745625088,640
195,1745629184,631
196,1745633280,608
197,1745637376,633
198,1745641472,638
199,1745645568,645
200,1745649664,638
201,1745653760,641
202,1745657856,639
203,1745661952,642
204,1745666048,640
205,1745670144,638
206,1745674240,642
207,1745678336,570
208,1745682432,632
209,1745686528,636
210,1745690624,635
211,1745694720,634
212,1745698816,636
213,1745702912,635
214,1745707008,636
215,1745711104,647
216,1745715200,646
217,1745719296,638
218,1745723392,560
219,1745727488,636
220,1745731584,631
221,1745735680,634
222,1745739776,639
223,1745743872,632
224,1745747968,636
225,1745752064,635
226,1745756160,639
227,1745760256,616
228,1745764352,633
229,1745768448,635
230,1745772544,646
231,1745776640,634
232,1745780736,637
233,1745784832,632
234,1745788928,636
235,1745793024,640
236,1745797120,632
237,1745801216,640
238,1745805312,570
239,1745809408,637
240,1745813504,641
241,1745817600,639
242,1745821696,637
243,1745825792,638
244,1745829888,640
245,1745833984,630
246,1745838080,633
247,1745842176,631
248,1745846272,645
249,1745850368,571
250,1745854464,635
251,1745858560,634
252,1745862656,638
253,1745866752,639
254,1745870848,640
255,1745874944,640
