device,/dev/nvme0n1
nsid,1
zone_size,134217728
target_zone,13
target_offset,1744830464
target_slba,3407872
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,1744830464,645
1,1744834560,576
2,1744838656,590
3,1744842752,557
4,1744846848,587
5,1744850944,558
6,1744855040,590
7,1744859136,600
8,1744863232,632
9,1744867328,588
10,1744871424,557
11,1744875520,609
12,1744879616,591
13,1744883712,568
14,1744887808,591
15,1744891904,559
16,1744896000,656
17,1744900096,588
18,1744904192,645
19,1744908288,598
20,1744912384,609
21,1744916480,595
22,1744920576,593
23,1744924672,602
24,1744928768,618
25,1744932864,589
26,1744936960,568
27,1744941056,600
28,1744945152,559
29,1744949248,588
30,1744953344,591
31,1744957440,578
32,1744961536,590
33,1744965632,561
34,1744969728,587
35,1744973824,632
36,1744977920,576
37,1744982016,588
38,1744986112,559
39,1744990208,589
40,1744994304,594
41,1744998400,598
42,1745002496,596
43,1745006592,565
44,1745010688,590
45,1745014784,592
46,1745018880,600
47,1745022976,591
48,1745027072,566
49,1745031168,660
50,1745035264,587
51,1745039360,593
52,1745043456,591
53,1745047552,560
54,1745051648,587
55,1745055744,594
56,1745059840,562
57,1745063936,592
58,1745068032,599
59,1745072128,606
60,1745076224,598
61,1745080320,596
62,1745084416,597
63,1745088512,604
64,1745092608,597
65,1745096704,596
66,1745100800,570
67,1745104896,594
68,1745108992,598
69,1745113088,597
70,1745117184,595
71,1745121280,599
72,1745125376,595
73,1745129472,597
74,1745133568,605
75,1745137664,595
76,1745141760,571
77,1745145856,598
78,1745149952,597
79,1745154048,598
80,1745158144,595
81,1745162240,597
82,1745166336,596
83,1745170432,598
84,1745174528,598
85,1745178624,594
86,1745182720,566
87,1745186816,594
88,1745190912,597
89,1745195008,605
90,1745199104,596
91,1745203200,649
92,1745207296,596
93,1745211392,598
94,1745215488,597
95,1745219584,597
96,1745223680,595
97,1745227776,576
98,1745231872,594
99,1745235968,560
100,1745240064,627
101,1745244160,599
102,1745248256,597
103,1745252352,597
104,1745256448,594
105,1745260544,598
106,1745264640,597
107,1745268736,598
108,1745272832,596
109,1745276928,621
110,1745281024,594
111,1745285120,615
112,1745289216,572
113,1745293312,596
114,1745297408,596
115,1745301504,601
116,1745305600,596
117,1745309696,599
118,1745313792,598
119,1745317888,594
120,1745321984,598
121,1745326080,597
122,1745330176,568
123,1745334272,593
124,1745338368,596
125,1745342464,597
126,1745346560,597
127,1745350656,603
128,1745354752,598
129,1745358848,596
130,1745362944,600
131,1745367040,595
132,1745371136,584
133,1745375232,595
134,1745379328,595
135,1745383424,581
136,1745387520,598
137,1745391616,595
138,1745395712,595
139,1745399808,598
140,1745403904,596
141,1745408000,599
142,1745412096,598
143,1745416192,570
144,1745420288,597
145,1745424384,560
146,1745428480,591
147,1745432576,611
148,1745436672,577
149,1745440768,594
150,1745444864,560
151,1745448960,593
152,1745453056,619
153,1745457152,599
154,1745461248,596
155,1745465344,597
156,1745469440,597
157,1745473536,595
158,1745477632,599
159,1745481728,595
160,1745485824,637
161,1745489920,595
162,1745494016,595
163,1745498112,571
164,1745502208,598
165,1745506304,596
166,1745510400,661
167,1745514496,598
168,1745518592,598
169,1745522688,596
170,1745526784,597
171,1745530880,595
172,1745534976,597
173,1745539072,566
174,1745543168,594
175,1745547264,594
176,1745551360,563
177,1745555456,591
178,1745559552,607
179,1745563648,597
180,1745567744,594
181,1745571840,564
182,1745575936,590
183,1745580032,594
184,1745584128,594
185,1745588224,598
186,1745592320,594
187,1745596416,594
188,1745600512,611
189,1745604608,606
190,1745608704,595
191,1745612800,606
192,1745616896,596
193,1745620992,594
194,1745625088,571
195,1745629184,596
196,1745633280,597
197,1745637376,595
198,1745641472,598
199,1745645568,598
200,1745649664,596
201,1745653760,598
202,1745657856,597
203,1745661952,596
204,1745666048,570
205,1745670144,595
206,1745674240,595
207,1745678336,598
208,1745682432,598
209,1745686528,596
210,1745690624,597
211,1745694720,598
212,1745698816,601
213,1745702912,595
214,1745707008,563
215,1745711104,593
216,1745715200,594
217,1745719296,597
218,1745723392,596
219,1745727488,596
220,1745731584,599
221,1745735680,598
222,1745739776,597
223,1745743872,593
224,1745747968,559
225,1745752064,593
226,1745756160,600
227,1745760256,597
228,1745764352,597
229,1745768448,595
230,1745772544,596
231,1745776640,594
232,1745780736,598
233,1745784832,594
234,1745788928,629
235,1745793024,596
236,1745797120,608
237,1745801216,571
238,1745805312,594
239,1745809408,598
240,1745813504,601
241,1745817600,596
242,1745821696,598
243,1745825792,597
244,1745829888,598
245,1745833984,594
246,1745838080,594
247,1745842176,568
248,1745846272,592
249,1745850368,597
250,1745854464,598
251,1745858560,595
252,1745862656,598
253,1745866752,597
254,1745870848,604
255,1745874944,600
