bs,bw_kb_s
128K,204480,,
128M,279769,,
16K,29414,,
16M,278580,,
1M,268590,,
256K,236592,,
256M,280068,,
2M,275072,,
32K,58908,,
32M,279471,,
4M,278284,,
512K,256250,,
64K,112411,,
64M,279769,,
8M,276231,,
