bs,bw_kb_s
128K,127347
16K,29403
16M,140296
1M,131598
256K,133644
256M,141051
2M,140559
32K,59081
32M,140635
4M,138921
512K,135160
512M,140937
64K,117002
64M,140748
8M,140371
