config,first_write_mean_us,steady_write_mean_us,first_to_steady_ratio
cfg0,703.0,600.575,1.170544894476127
cfg10,752.6,616.9833333333333,1.21980604554418
cfg18,731.8,595.4416666666667,1.2290036807411864
