FT  ->  Latency(us/op), Workload (Sec),  Throughput(ops/sec) ,Bandwidth(MB/s)  ->   Duration(ns)
0  ->  13.541 , 13.541 , 73850 , 57.5  ->  14966609608
10  ->  13.411 , 13.411 , 74566 , 58.0  ->  14606696979
20  ->  13.714 , 13.714 , 72918 , 56.7  ->  14896703824
30  ->  14.173 , 14.173 , 70555 , 54.9  ->  15650627145
40  ->  17.473 , 17.473 , 57230 , 44.5  ->  18985144215
50  ->  17.543 , 17.543 , 57003 , 44.4  ->  19425483386
60  ->  16.703 , 16.703 , 59867 , 46.6  ->  18550933242
70  ->  21.631 , 21.632 , 46228 , 36.0  ->  23252646352
80  ->  25.211 , 25.212 , 39664 , 30.9  ->  27532407793
90  ->  37.492 , 37.492 , 26672 , 20.8  ->  40046638445
100  ->  38.113 , 38.113 , 26237 , 20.4  ->  49552418583
