device,/dev/nvme0n1
nsid,1
zone_size,67108864
target_zone,13
target_offset,872415232
target_slba,1703936
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,872415232,784
1,872419328,593
2,872423424,594
3,872427520,606
4,872431616,622
5,872435712,594
6,872439808,604
7,872443904,577
8,872448000,634
9,872452096,631
10,872456192,588
11,872460288,628
12,872464384,575
13,872468480,640
14,872472576,637
15,872476672,630
16,872480768,638
17,872484864,638
18,872488960,564
19,872493056,629
20,872497152,652
21,872501248,627
22,872505344,629
23,872509440,630
24,872513536,642
25,872517632,592
26,872521728,597
27,872525824,633
28,872529920,603
29,872534016,564
30,872538112,603
31,872542208,560
32,872546304,625
33,872550400,603
34,872554496,582
35,872558592,592
36,872562688,679
37,872566784,604
38,872570880,639
39,872574976,635
40,872579072,631
41,872583168,656
42,872587264,558
43,872591360,628
44,872595456,644
45,872599552,634
46,872603648,641
47,872607744,640
48,872611840,607
49,872615936,642
50,872620032,604
51,872624128,642
52,872628224,642
53,872632320,562
54,872636416,630
55,872640512,637
56,872644608,641
57,872648704,663
58,872652800,644
59,872656896,637
60,872660992,638
61,872665088,638
62,872669184,580
63,872673280,640
64,872677376,639
65,872681472,639
66,872685568,641
67,872689664,641
68,872693760,647
69,872697856,634
70,872701952,644
71,872706048,635
72,872710144,635
73,872714240,573
74,872718336,602
75,872722432,630
76,872726528,635
77,872730624,635
78,872734720,650
79,872738816,641
80,872742912,648
81,872747008,641
82,872751104,640
83,872755200,641
84,872759296,562
85,872763392,630
86,872767488,637
87,872771584,640
88,872775680,639
89,872779776,638
90,872783872,636
91,872787968,636
92,872792064,639
93,872796160,625
94,872800256,645
95,872804352,626
96,872808448,657
97,872812544,642
98,872816640,598
99,872820736,637
100,872824832,643
101,872828928,636
102,872833024,642
103,872837120,639
104,872841216,641
105,872845312,635
106,872849408,638
107,872853504,573
108,872857600,637
109,872861696,639
110,872865792,641
111,872869888,613
112,872873984,642
113,872878080,634
114,872882176,642
115,872886272,635
116,872890368,640
117,872894464,638
118,872898560,573
119,872902656,642
120,872906752,649
121,872910848,634
122,872914944,638
123,872919040,633
124,872923136,638
125,872927232,638
126,872931328,639
127,872935424,640
128,872939520,637
129,872943616,648
130,872947712,642
131,872951808,642
132,872955904,636
133,872960000,641
134,872964096,646
135,872968192,640
136,872972288,635
137,872976384,635
138,872980480,573
139,872984576,643
140,872988672,640
141,872992768,637
142,872996864,658
143,873000960,661
144,873005056,639
145,873009152,640
146,873013248,644
147,873017344,622
148,873021440,643
149,873025536,631
150,873029632,647
151,873033728,638
152,873037824,639
153,873041920,635
154,873046016,652
155,873050112,603
156,873054208,640
157,873058304,635
158,873062400,572
159,873066496,636
160,873070592,638
161,873074688,620
162,873078784,632
163,873082880,652
164,873086976,645
165,873091072,640
166,873095168,567
167,873099264,636
168,873103360,644
169,873107456,601
170,873111552,644
171,873115648,640
172,873119744,637
173,873123840,636
174,873127936,638
175,873132032,616
176,873136128,640
177,873140224,685
178,873144320,638
179,873148416,645
180,873152512,644
181,873156608,644
182,873160704,637
183,873164800,563
184,873168896,640
185,873172992,638
186,873177088,642
187,873181184,639
188,873185280,640
189,873189376,646
190,873193472,639
191,873197568,638
192,873201664,583
193,873205760,643
194,873209856,634
195,873213952,641
196,873218048,633
197,873222144,643
198,873226240,669
199,873230336,634
200,873234432,638
201,873238528,638
202,873242624,646
203,873246720,565
204,873250816,631
205,873254912,644
206,873259008,627
207,873263104,642
208,873267200,638
209,873271296,637
210,873275392,639
211,873279488,640
212,873283584,639
213,873287680,636
214,873291776,637
215,873295872,640
216,873299968,635
217,873304064,638
218,873308160,657
219,873312256,651
220,873316352,639
221,873320448,640
222,873324544,635
223,873328640,576
224,873332736,646
225,873336832,636
226,873340928,642
227,873345024,637
228,873349120,643
229,873353216,637
230,873357312,638
231,873361408,635
232,873365504,641
233,873369600,638
234,873373696,640
235,873377792,642
236,873381888,639
237,873385984,640
238,873390080,641
239,873394176,647
240,873398272,642
241,873402368,643
242,873406464,635
243,873410560,572
244,873414656,644
245,873418752,638
246,873422848,637
247,873426944,637
248,873431040,639
249,873435136,642
250,873439232,598
251,873443328,639
252,873447424,641
253,873451520,638
254,873455616,562
255,873459712,633
