device,/dev/nvme0n1
nsid,1
zone_size,67108864
target_zone,13
target_offset,872415232
target_slba,1703936
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,872415232,674
1,872419328,615
2,872423424,594
3,872427520,595
4,872431616,604
5,872435712,593
6,872439808,643
7,872443904,597
8,872448000,589
9,872452096,563
10,872456192,591
11,872460288,593
12,872464384,605
13,872468480,600
14,872472576,638
15,872476672,644
16,872480768,643
17,872484864,634
18,872488960,558
19,872493056,637
20,872497152,638
21,872501248,602
22,872505344,639
23,872509440,627
24,872513536,613
25,872517632,635
26,872521728,681
27,872525824,604
28,872529920,633
29,872534016,635
30,872538112,593
31,872542208,638
32,872546304,568
33,872550400,560
34,872554496,624
35,872558592,657
36,872562688,630
37,872566784,557
38,872570880,638
39,872574976,634
40,872579072,638
41,872583168,638
42,872587264,638
43,872591360,566
44,872595456,628
45,872599552,629
46,872603648,554
47,872607744,624
48,872611840,567
49,872615936,633
50,872620032,630
51,872624128,636
52,872628224,629
53,872632320,626
54,872636416,636
55,872640512,613
56,872644608,569
57,872648704,595
58,872652800,665
59,872656896,595
60,872660992,637
61,872665088,648
62,872669184,642
63,872673280,638
64,872677376,682
65,872681472,599
66,872685568,640
67,872689664,558
68,872693760,633
69,872697856,635
70,872701952,571
71,872706048,575
72,872710144,660
73,872714240,661
74,872718336,631
75,872722432,672
76,872726528,646
77,872730624,662
78,872734720,651
79,872738816,645
80,872742912,647
81,872747008,624
82,872751104,600
83,872755200,642
84,872759296,668
85,872763392,636
86,872767488,643
87,872771584,598
88,872775680,645
89,872779776,641
90,872783872,572
91,872787968,642
92,872792064,643
93,872796160,645
94,872800256,632
95,872804352,641
96,872808448,645
97,872812544,640
98,872816640,640
99,872820736,637
100,872824832,649
101,872828928,564
102,872833024,639
103,872837120,639
104,872841216,641
105,872845312,643
106,872849408,641
107,872853504,644
108,872857600,644
109,872861696,630
110,872865792,641
111,872869888,636
112,872873984,636
113,872878080,649
114,872882176,637
115,872886272,606
116,872890368,642
117,872894464,657
118,872898560,637
119,872902656,643
120,872906752,610
121,872910848,573
122,872914944,642
123,872919040,641
124,872923136,646
125,872927232,640
126,872931328,652
127,872935424,643
128,872939520,642
129,872943616,643
130,872947712,640
131,872951808,641
132,872955904,635
133,872960000,653
134,872964096,643
135,872968192,644
136,872972288,640
137,872976384,642
138,872980480,645
139,872984576,652
140,872988672,654
141,872992768,573
142,872996864,643
143,873000960,643
144,873005056,650
145,873009152,639
146,873013248,639
147,873017344,639
148,873021440,638
149,873025536,645
150,873029632,620
151,873033728,638
152,873037824,586
153,873041920,647
154,873046016,646
155,873050112,639
156,873054208,638
157,873058304,652
158,873062400,638
159,873066496,643
160,873070592,641
161,873074688,573
162,873078784,640
163,873082880,639
164,873086976,643
165,873091072,639
166,873095168,642
167,873099264,646
168,873103360,642
169,873107456,645
170,873111552,648
171,873115648,649
172,873119744,630
173,873123840,646
174,873127936,643
175,873132032,644
176,873136128,643
177,873140224,642
178,873144320,640
179,873148416,646
180,873152512,646
181,873156608,572
182,873160704,639
183,873164800,642
184,873168896,642
185,873172992,647
186,873177088,639
187,873181184,642
188,873185280,641
189,873189376,638
190,873193472,631
191,873197568,644
192,873201664,631
193,873205760,645
194,873209856,642
195,873213952,638
196,873218048,640
197,873222144,644
198,873226240,645
199,873230336,639
200,873234432,650
201,873238528,572
202,873242624,642
203,873246720,639
204,873250816,644
205,873254912,654
206,873259008,635
207,873263104,642
208,873267200,637
209,873271296,644
210,873275392,615
211,873279488,639
212,873283584,628
213,873287680,646
214,873291776,643
215,873295872,645
216,873299968,639
217,873304064,649
218,873308160,642
219,873312256,642
220,873316352,639
221,873320448,572
222,873324544,643
223,873328640,645
224,873332736,642
225,873336832,645
226,873340928,645
227,873345024,644
228,873349120,643
229,873353216,641
230,873357312,597
231,873361408,645
232,873365504,625
233,873369600,647
234,873373696,639
235,873377792,562
236,873381888,643
237,873385984,641
238,873390080,630
239,873394176,648
240,873398272,645
241,873402368,646
242,873406464,644
243,873410560,640
244,873414656,643
245,873418752,641
246,873422848,643
247,873426944,617
248,873431040,641
249,873435136,626
250,873439232,646
251,873443328,646
252,873447424,640
253,873451520,639
254,873455616,645
255,873459712,645
