device,/dev/nvme0n1
nsid,1
zone_size,67108864
target_zone,13
target_offset,872415232
target_slba,1703936
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,872415232,716
1,872419328,628
2,872423424,632
3,872427520,639
4,872431616,631
5,872435712,560
6,872439808,650
7,872443904,660
8,872448000,633
9,872452096,629
10,872456192,586
11,872460288,594
12,872464384,634
13,872468480,568
14,872472576,634
15,872476672,607
16,872480768,569
17,872484864,594
18,872488960,603
19,872493056,585
20,872497152,602
21,872501248,595
22,872505344,642
23,872509440,596
24,872513536,574
25,872517632,642
26,872521728,600
27,872525824,641
28,872529920,643
29,872534016,568
30,872538112,632
31,872542208,636
32,872546304,563
33,872550400,642
34,872554496,654
35,872558592,661
36,872562688,645
37,872566784,646
38,872570880,629
39,872574976,647
40,872579072,603
41,872583168,635
42,872587264,633
43,872591360,574
44,872595456,639
45,872599552,645
46,872603648,634
47,872607744,637
48,872611840,636
49,872615936,651
50,872620032,638
51,872624128,636
52,872628224,654
53,872632320,643
54,872636416,649
55,872640512,652
56,872644608,646
57,872648704,645
58,872652800,650
59,872656896,653
60,872660992,643
61,872665088,643
62,872669184,647
63,872673280,563
64,872677376,637
65,872681472,641
66,872685568,643
67,872689664,641
68,872693760,639
69,872697856,643
70,872701952,639
71,872706048,638
72,872710144,610
73,872714240,646
74,872718336,631
75,872722432,651
76,872726528,647
77,872730624,641
78,872734720,647
79,872738816,647
80,872742912,646
81,872747008,641
82,872751104,664
83,872755200,562
84,872759296,640
85,872763392,642
86,872767488,642
87,872771584,643
88,872775680,646
89,872779776,644
90,872783872,646
91,872787968,675
92,872792064,573
93,872796160,638
94,872800256,641
95,872804352,647
96,872808448,643
97,872812544,654
98,872816640,650
99,872820736,642
100,872824832,652
101,872828928,651
102,872833024,643
103,872837120,563
104,872841216,650
105,872845312,648
106,872849408,641
107,872853504,645
108,872857600,640
109,872861696,639
110,872865792,646
111,872869888,650
112,872873984,572
113,872878080,642
114,872882176,641
115,872886272,645
116,872890368,644
117,872894464,645
118,872898560,651
119,872902656,643
120,872906752,649
121,872910848,652
122,872914944,652
123,872919040,562
124,872923136,636
125,872927232,641
126,872931328,641
127,872935424,646
128,872939520,641
129,872943616,642
130,872947712,647
131,872951808,641
132,872955904,595
133,872960000,643
134,872964096,638
135,872968192,649
136,872972288,640
137,872976384,641
138,872980480,647
139,872984576,643
140,872988672,642
141,872992768,640
142,872996864,639
143,873000960,568
144,873005056,637
145,873009152,638
146,873013248,639
147,873017344,638
148,873021440,647
149,873025536,650
150,873029632,643
151,873033728,646
152,873037824,607
153,873041920,643
154,873046016,631
155,873050112,649
156,873054208,640
157,873058304,642
158,873062400,646
159,873066496,643
160,873070592,644
161,873074688,640
162,873078784,645
163,873082880,573
164,873086976,649
165,873091072,642
166,873095168,640
167,873099264,640
168,873103360,622
169,873107456,643
170,873111552,639
171,873115648,642
172,873119744,638
173,873123840,641
174,873127936,674
175,873132032,653
176,873136128,641
177,873140224,641
178,873144320,651
179,873148416,643
180,873152512,638
181,873156608,648
182,873160704,643
183,873164800,644
184,873168896,641
185,873172992,640
186,873177088,642
187,873181184,643
188,873185280,642
189,873189376,574
190,873193472,643
191,873197568,645
192,873201664,637
193,873205760,641
194,873209856,645
195,873213952,642
196,873218048,641
197,873222144,643
198,873226240,630
199,873230336,646
200,873234432,633
201,873238528,649
202,873242624,641
203,873246720,647
204,873250816,649
205,873254912,646
206,873259008,646
207,873263104,645
208,873267200,639
209,873271296,562
210,873275392,637
211,873279488,647
212,873283584,641
213,873287680,647
214,873291776,643
215,873295872,642
216,873299968,639
217,873304064,646
218,873308160,603
219,873312256,640
220,873316352,634
221,873320448,646
222,873324544,639
223,873328640,643
224,873332736,648
225,873336832,640
226,873340928,646
227,873345024,641
228,873349120,647
229,873353216,562
230,873357312,633
231,873361408,646
232,873365504,635
233,873369600,640
234,873373696,636
235,873377792,641
236,873381888,643
237,873385984,643
238,873390080,631
239,873394176,633
240,873398272,633
241,873402368,648
242,873406464,641
243,873410560,644
244,873414656,643
245,873418752,644
246,873422848,642
247,873426944,641
248,873431040,643
249,873435136,575
250,873439232,642
251,873443328,640
252,873447424,644
253,873451520,638
254,873455616,643
255,873459712,639
