device,/dev/nvme0n1
nsid,1
zone_size,67108864
target_zone,13
target_offset,872415232
target_slba,1703936
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,872415232,875
1,872419328,580
2,872423424,593
3,872427520,557
4,872431616,634
5,872435712,592
6,872439808,593
7,872443904,593
8,872448000,653
9,872452096,593
10,872456192,578
11,872460288,590
12,872464384,591
13,872468480,651
14,872472576,580
15,872476672,592
16,872480768,559
17,872484864,603
18,872488960,591
19,872493056,584
20,872497152,593
21,872501248,558
22,872505344,587
23,872509440,628
24,872513536,591
25,872517632,594
26,872521728,565
27,872525824,587
28,872529920,591
29,872534016,572
30,872538112,557
31,872542208,591
32,872546304,644
33,872550400,593
34,872554496,567
35,872558592,596
36,872562688,560
37,872566784,633
38,872570880,637
39,872574976,567
40,872579072,590
41,872583168,650
42,872587264,592
43,872591360,626
44,872595456,596
45,872599552,594
46,872603648,594
47,872607744,583
48,872611840,592
49,872615936,557
50,872620032,633
51,872624128,603
52,872628224,606
53,872632320,590
54,872636416,657
55,872640512,591
56,872644608,582
57,872648704,599
58,872652800,598
59,872656896,595
60,872660992,604
61,872665088,594
62,872669184,605
63,872673280,605
64,872677376,640
65,872681472,571
66,872685568,595
67,872689664,595
68,872693760,594
69,872697856,598
70,872701952,597
71,872706048,595
72,872710144,594
73,872714240,596
74,872718336,617
75,872722432,596
76,872726528,595
77,872730624,596
78,872734720,583
79,872738816,597
80,872742912,559
81,872747008,592
82,872751104,598
83,872755200,596
84,872759296,596
85,872763392,594
86,872767488,598
87,872771584,596
88,872775680,598
89,872779776,596
90,872783872,566
91,872787968,594
92,872792064,594
93,872796160,626
94,872800256,596
95,872804352,596
96,872808448,599
97,872812544,594
98,872816640,596
99,872820736,595
100,872824832,596
101,872828928,595
102,872833024,600
103,872837120,564
104,872841216,593
105,872845312,595
106,872849408,602
107,872853504,597
108,872857600,597
109,872861696,595
110,872865792,596
111,872869888,595
112,872873984,604
113,872878080,586
114,872882176,596
115,872886272,597
116,872890368,598
117,872894464,598
118,872898560,596
119,872902656,595
120,872906752,597
121,872910848,594
122,872914944,595
123,872919040,596
124,872923136,595
125,872927232,594
126,872931328,578
127,872935424,597
128,872939520,597
129,872943616,599
130,872947712,596
131,872951808,597
132,872955904,594
133,872960000,597
134,872964096,594
135,872968192,597
136,872972288,569
137,872976384,591
138,872980480,596
139,872984576,594
140,872988672,597
141,872992768,595
142,872996864,596
143,873000960,598
144,873005056,597
145,873009152,603
146,873013248,602
147,873017344,595
148,873021440,616
149,873025536,571
150,873029632,595
151,873033728,594
152,873037824,602
153,873041920,595
154,873046016,597
155,873050112,598
156,873054208,597
157,873058304,597
158,873062400,596
159,873066496,558
160,873070592,590
161,873074688,599
162,873078784,598
163,873082880,597
164,873086976,596
165,873091072,596
166,873095168,599
167,873099264,600
168,873103360,594
169,873107456,625
170,873111552,594
171,873115648,613
172,873119744,571
173,873123840,596
174,873127936,595
175,873132032,601
176,873136128,598
177,873140224,594
178,873144320,596
179,873148416,597
180,873152512,597
181,873156608,599
182,873160704,567
183,873164800,592
184,873168896,596
185,873172992,594
186,873177088,598
187,873181184,594
188,873185280,597
189,873189376,595
190,873193472,602
191,873197568,594
192,873201664,610
193,873205760,594
194,873209856,616
195,873213952,571
196,873218048,596
197,873222144,598
198,873226240,602
199,873230336,596
200,873234432,594
201,873238528,595
202,873242624,594
203,873246720,597
204,873250816,593
205,873254912,559
206,873259008,591
207,873263104,597
208,873267200,597
209,873271296,596
210,873275392,597
211,873279488,594
212,873283584,597
213,873287680,595
214,873291776,596
215,873295872,639
216,873299968,593
217,873304064,616
218,873308160,570
219,873312256,595
220,873316352,598
221,873320448,602
222,873324544,596
223,873328640,597
224,873332736,598
225,873336832,595
226,873340928,597
227,873345024,597
228,873349120,647
229,873353216,596
230,873357312,606
231,873361408,571
232,873365504,597
233,873369600,597
234,873373696,599
235,873377792,596
236,873381888,597
237,873385984,594
238,873390080,594
239,873394176,597
240,873398272,598
241,873402368,570
242,873406464,591
243,873410560,596
244,873414656,597
245,873418752,596
246,873422848,597
247,873426944,596
248,873431040,598
249,873435136,597
250,873439232,596
251,873443328,614
252,873447424,594
253,873451520,623
254,873455616,575
255,873459712,597
