device,/dev/nvme0n1
nsid,1
zone_size,33554432
target_zone,13
target_offset,436207616
target_slba,851968
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,436207616,716
1,436211712,593
2,436215808,592
3,436219904,591
4,436224000,593
5,436228096,568
6,436232192,583
7,436236288,637
8,436240384,592
9,436244480,593
10,436248576,566
11,436252672,591
12,436256768,578
13,436260864,592
14,436264960,590
15,436269056,565
16,436273152,593
17,436277248,557
18,436281344,589
19,436285440,556
20,436289536,606
21,436293632,590
22,436297728,559
23,436301824,587
24,436305920,624
25,436310016,577
26,436314112,601
27,436318208,561
28,436322304,587
29,436326400,606
30,436330496,574
31,436334592,591
32,436338688,565
33,436342784,592
34,436346880,596
35,436350976,572
36,436355072,592
37,436359168,567
38,436363264,654
39,436367360,567
40,436371456,618
41,436375552,591
42,436379648,580
43,436383744,589
44,436387840,597
45,436391936,572
46,436396032,588
47,436400128,596
48,436404224,593
49,436408320,591
50,436412416,567
51,436416512,590
52,436420608,571
53,436424704,611
54,436428800,592
55,436432896,580
56,436436992,600
57,436441088,597
58,436445184,591
59,436449280,557
60,436453376,589
61,436457472,592
62,436461568,579
63,436465664,586
64,436469760,593
65,436473856,567
66,436477952,649
67,436482048,639
68,436486144,604
69,436490240,596
70,436494336,598
71,436498432,596
72,436502528,599
73,436506624,623
74,436510720,594
75,436514816,587
76,436518912,595
77,436523008,595
78,436527104,608
79,436531200,600
80,436535296,596
81,436539392,605
82,436543488,615
83,436547584,598
84,436551680,593
85,436555776,596
86,436559872,575
87,436563968,596
88,436568064,560
89,436572160,592
90,436576256,596
91,436580352,594
92,436584448,597
93,436588544,605
94,436592640,597
95,436596736,595
96,436600832,596
97,436604928,594
98,436609024,593
99,436613120,598
100,436617216,598
101,436621312,595
102,436625408,596
103,436629504,595
104,436633600,595
105,436637696,605
106,436641792,594
107,436645888,600
108,436649984,594
109,436654080,598
110,436658176,595
111,436662272,559
112,436666368,594
113,436670464,594
114,436674560,597
115,436678656,595
116,436682752,597
117,436686848,604
118,436690944,598
119,436695040,595
120,436699136,596
121,436703232,566
122,436707328,595
123,436711424,598
124,436715520,597
125,436719616,597
126,436723712,597
127,436727808,594
128,436731904,604
129,436736000,605
130,436740096,595
131,436744192,585
132,436748288,595
133,436752384,598
134,436756480,571
135,436760576,595
136,436764672,598
137,436768768,662
138,436772864,598
139,436776960,658
140,436781056,596
141,436785152,626
142,436789248,595
143,436793344,596
144,436797440,597
145,436801536,577
146,436805632,596
147,436809728,559
148,436813824,594
149,436817920,594
150,436822016,642
151,436826112,599
152,436830208,598
153,436834304,594
154,436838400,604
155,436842496,595
156,436846592,593
157,436850688,618
158,436854784,597
159,436858880,597
160,436862976,571
161,436867072,604
162,436871168,597
163,436875264,595
164,436879360,597
165,436883456,596
166,436887552,602
167,436891648,598
168,436895744,597
169,436899840,594
170,436903936,570
171,436908032,595
172,436912128,595
173,436916224,603
174,436920320,596
175,436924416,596
176,436928512,595
177,436932608,597
178,436936704,602
179,436940800,595
180,436944896,604
181,436948992,595
182,436953088,590
183,436957184,571
184,436961280,617
185,436965376,596
186,436969472,595
187,436973568,597
188,436977664,594
189,436981760,605
190,436985856,607
191,436989952,596
192,436994048,595
193,436998144,655
194,437002240,593
195,437006336,613
196,437010432,571
197,437014528,599
198,437018624,598
199,437022720,600
200,437026816,601
201,437030912,595
202,437035008,605
203,437039104,596
204,437043200,597
205,437047296,593
206,437051392,664
207,437055488,593
208,437059584,616
209,437063680,571
210,437067776,597
211,437071872,597
212,437075968,598
213,437080064,596
214,437084160,597
215,437088256,602
216,437092352,597
217,437096448,597
218,437100544,593
219,437104640,566
220,437108736,593
221,437112832,598
222,437116928,598
223,437121024,596
224,437125120,595
225,437129216,600
226,437133312,597
227,437137408,604
228,437141504,593
229,437145600,596
230,437149696,595
231,437153792,595
232,437157888,571
233,437161984,596
234,437166080,597
235,437170176,599
236,437174272,595
237,437178368,597
238,437182464,597
239,437186560,605
240,437190656,596
241,437194752,595
242,437198848,571
243,437202944,591
244,437207040,597
245,437211136,594
246,437215232,596
247,437219328,598
248,437223424,598
249,437227520,597
250,437231616,595
251,437235712,603
252,437239808,603
253,437243904,599
254,437248000,595
255,437252096,571
