device,/dev/nvme0n1
nsid,1
zone_size,33554432
target_zone,13
target_offset,436207616
target_slba,851968
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,436207616,703
1,436211712,640
2,436215808,651
3,436219904,574
4,436224000,635
5,436228096,609
6,436232192,583
7,436236288,638
8,436240384,595
9,436244480,633
10,436248576,612
11,436252672,587
12,436256768,559
13,436260864,629
14,436264960,636
15,436269056,631
16,436273152,566
17,436277248,639
18,436281344,613
19,436285440,639
20,436289536,633
21,436293632,668
22,436297728,651
23,436301824,648
24,436305920,608
25,436310016,645
26,436314112,648
27,436318208,558
28,436322304,629
29,436326400,634
30,436330496,567
31,436334592,559
32,436338688,593
33,436342784,632
34,436346880,616
35,436350976,576
36,436355072,606
37,436359168,581
38,436363264,648
39,436367360,634
40,436371456,558
41,436375552,595
42,436379648,629
43,436383744,587
44,436387840,557
45,436391936,590
46,436396032,637
47,436400128,643
48,436404224,566
49,436408320,633
50,436412416,627
51,436416512,650
52,436420608,638
53,436424704,628
54,436428800,640
55,436432896,638
56,436436992,557
57,436441088,551
58,436445184,634
59,436449280,633
60,436453376,635
61,436457472,634
62,436461568,638
63,436465664,581
64,436469760,634
65,436473856,644
66,436477952,641
67,436482048,643
68,436486144,637
69,436490240,641
70,436494336,589
71,436498432,656
72,436502528,642
73,436506624,638
74,436510720,645
75,436514816,643
76,436518912,644
77,436523008,639
78,436527104,596
79,436531200,637
80,436535296,635
81,436539392,570
82,436543488,632
83,436547584,640
84,436551680,651
85,436555776,648
86,436559872,638
87,436563968,642
88,436568064,643
89,436572160,637
90,436576256,634
91,436580352,635
92,436584448,628
93,436588544,646
94,436592640,641
95,436596736,641
96,436600832,652
97,436604928,640
98,436609024,641
99,436613120,639
100,436617216,635
101,436621312,570
102,436625408,640
103,436629504,642
104,436633600,598
105,436637696,645
106,436641792,641
107,436645888,639
108,436649984,650
109,436654080,638
110,436658176,656
111,436662272,636
112,436666368,559
113,436670464,634
114,436674560,644
115,436678656,637
116,436682752,635
117,436686848,641
118,436690944,644
119,436695040,646
120,436699136,645
121,436703232,585
122,436707328,637
123,436711424,638
124,436715520,646
125,436719616,640
126,436723712,637
127,436727808,639
128,436731904,651
129,436736000,639
130,436740096,635
131,436744192,638
132,436748288,578
133,436752384,641
134,436756480,639
135,436760576,642
136,436764672,633
137,436768768,641
138,436772864,640
139,436776960,640
140,436781056,640
141,436785152,638
142,436789248,635
143,436793344,561
144,436797440,592
145,436801536,646
146,436805632,641
147,436809728,640
148,436813824,640
149,436817920,644
150,436822016,642
151,436826112,636
152,436830208,605
153,436834304,640
154,436838400,629
155,436842496,635
156,436846592,638
157,436850688,649
158,436854784,635
159,436858880,638
160,436862976,639
161,436867072,641
162,436871168,640
163,436875264,570
164,436879360,643
165,436883456,638
166,436887552,640
167,436891648,639
168,436895744,660
169,436899840,648
170,436903936,642
171,436908032,643
172,436912128,643
173,436916224,643
174,436920320,628
175,436924416,644
176,436928512,635
177,436932608,636
178,436936704,655
179,436940800,644
180,436944896,638
181,436948992,649
182,436953088,636
183,436957184,570
184,436961280,636
185,436965376,637
186,436969472,635
187,436973568,638
188,436977664,638
189,436981760,644
190,436985856,638
191,436989952,668
192,436994048,646
193,436998144,620
194,437002240,560
195,437006336,638
196,437010432,642
197,437014528,597
198,437018624,643
199,437022720,636
200,437026816,635
201,437030912,637
202,437035008,645
203,437039104,619
204,437043200,643
205,437047296,626
206,437051392,656
207,437055488,640
208,437059584,639
209,437063680,637
210,437067776,643
211,437071872,634
212,437075968,636
213,437080064,637
214,437084160,570
215,437088256,640
216,437092352,636
217,437096448,635
218,437100544,645
219,437104640,638
220,437108736,652
221,437112832,639
222,437116928,643
223,437121024,643
224,437125120,641
225,437129216,635
226,437133312,643
227,437137408,638
228,437141504,640
229,437145600,640
230,437149696,648
231,437153792,638
232,437157888,640
233,437161984,641
234,437166080,569
235,437170176,640
236,437174272,636
237,437178368,643
238,437182464,637
239,437186560,640
240,437190656,636
241,437194752,640
242,437198848,646
243,437202944,645
244,437207040,635
245,437211136,559
246,437215232,596
247,437219328,602
248,437223424,645
249,437227520,638
250,437231616,636
251,437235712,646
252,437239808,644
253,437243904,639
254,437248000,650
255,437252096,638
