device,/dev/nvme0n1
nsid,1
zone_size,33554432
target_zone,13
target_offset,436207616
target_slba,851968
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,436207616,761
1,436211712,558
2,436215808,622
3,436219904,567
4,436224000,638
5,436228096,649
6,436232192,568
7,436236288,637
8,436240384,661
9,436244480,639
10,436248576,639
11,436252672,639
12,436256768,621
13,436260864,640
14,436264960,582
15,436269056,633
16,436273152,641
17,436277248,568
18,436281344,640
19,436285440,633
20,436289536,559
21,436293632,637
22,436297728,633
23,436301824,642
24,436305920,634
25,436310016,558
26,436314112,637
27,436318208,634
28,436322304,566
29,436326400,658
30,436330496,644
31,436334592,629
32,436338688,590
33,436342784,569
34,436346880,586
35,436350976,590
36,436355072,566
37,436359168,594
38,436363264,558
39,436367360,589
40,436371456,616
41,436375552,617
42,436379648,590
43,436383744,557
44,436387840,600
45,436391936,592
46,436396032,565
47,436400128,591
48,436404224,557
49,436408320,588
50,436412416,732
51,436416512,581
52,436420608,594
53,436424704,635
54,436428800,651
55,436432896,593
56,436436992,557
57,436441088,588
58,436445184,589
59,436449280,567
60,436453376,595
61,436457472,595
62,436461568,597
63,436465664,597
64,436469760,571
65,436473856,605
66,436477952,584
67,436482048,594
68,436486144,594
69,436490240,596
70,436494336,596
71,436498432,658
72,436502528,653
73,436506624,597
74,436510720,597
75,436514816,593
76,436518912,594
77,436523008,569
78,436527104,605
79,436531200,595
80,436535296,598
81,436539392,597
82,436543488,596
83,436547584,597
84,436551680,589
85,436555776,595
86,436559872,615
87,436563968,572
88,436568064,597
89,436572160,612
90,436576256,576
91,436580352,604
92,436584448,564
93,436588544,590
94,436592640,581
95,436596736,596
96,436600832,615
97,436604928,563
98,436609024,590
99,436613120,593
100,436617216,596
101,436621312,597
102,436625408,571
103,436629504,590
104,436633600,625
105,436637696,621
106,436641792,649
107,436645888,589
108,436649984,596
109,436654080,595
110,436658176,563
111,436662272,594
112,436666368,637
113,436670464,595
114,436674560,616
115,436678656,594
116,436682752,597
117,436686848,595
118,436690944,596
119,436695040,595
120,436699136,558
121,436703232,592
122,436707328,596
123,436711424,595
124,436715520,596
125,436719616,595
126,436723712,604
127,436727808,593
128,436731904,595
129,436736000,592
130,436740096,654
131,436744192,596
132,436748288,593
133,436752384,571
134,436756480,596
135,436760576,595
136,436764672,600
137,436768768,596
138,436772864,605
139,436776960,595
140,436781056,598
141,436785152,596
142,436789248,596
143,436793344,579
144,436797440,591
145,436801536,594
146,436805632,595
147,436809728,595
148,436813824,655
149,436817920,594
150,436822016,598
151,436826112,580
152,436830208,596
153,436834304,615
154,436838400,622
155,436842496,652
156,436846592,584
157,436850688,595
158,436854784,607
159,436858880,571
160,436862976,597
161,436867072,597
162,436871168,600
163,436875264,616
164,436879360,595
165,436883456,587
166,436887552,595
167,436891648,594
168,436895744,596
169,436899840,559
170,436903936,592
171,436908032,598
172,436912128,657
173,436916224,597
174,436920320,605
175,436924416,603
176,436928512,594
177,436932608,597
178,436936704,594
179,436940800,595
180,436944896,601
181,436948992,596
182,436953088,570
183,436957184,594
184,436961280,597
185,436965376,595
186,436969472,596
187,436973568,604
188,436977664,596
189,436981760,596
190,436985856,596
191,436989952,595
192,436994048,563
193,436998144,591
194,437002240,598
195,437006336,594
196,437010432,595
197,437014528,604
198,437018624,594
199,437022720,605
200,437026816,596
201,437030912,596
202,437035008,609
203,437039104,599
204,437043200,613
205,437047296,571
206,437051392,586
207,437055488,596
208,437059584,602
209,437063680,596
210,437067776,595
211,437071872,593
212,437075968,604
213,437080064,593
214,437084160,595
215,437088256,559
216,437092352,592
217,437096448,595
218,437100544,595
219,437104640,596
220,437108736,595
221,437112832,594
222,437116928,596
223,437121024,599
224,437125120,603
225,437129216,627
226,437133312,593
227,437137408,614
228,437141504,570
229,437145600,596
230,437149696,596
231,437153792,600
232,437157888,596
233,437161984,595
234,437166080,596
235,437170176,594
236,437174272,597
237,437178368,595
238,437182464,559
239,437186560,592
240,437190656,596
241,437194752,594
242,437198848,594
243,437202944,597
244,437207040,596
245,437211136,594
246,437215232,596
247,437219328,595
248,437223424,645
249,437227520,596
250,437231616,615
251,437235712,564
252,437239808,593
253,437243904,634
254,437248000,581
255,437252096,597
