device,/dev/nvme0n1
nsid,1
zone_size,33554432
target_zone,13
target_offset,436207616
target_slba,851968
write_size,4096
num_writes,256
mode,filled_then_reset_trace
request_idx,offset,latency_us
0,436207616,733
1,436211712,601
2,436215808,591
3,436219904,558
4,436224000,590
5,436228096,589
6,436232192,593
7,436236288,592
8,436240384,590
9,436244480,614
10,436248576,594
11,436252672,592
12,436256768,591
13,436260864,598
14,436264960,594
15,436269056,567
16,436273152,559
17,436277248,586
18,436281344,592
19,436285440,594
20,436289536,567
21,436293632,589
22,436297728,628
23,436301824,599
24,436305920,588
25,436310016,557
26,436314112,585
27,436318208,599
28,436322304,581
29,436326400,595
30,436330496,592
31,436334592,591
32,436338688,593
33,436342784,572
34,436346880,597
35,436350976,556
36,436355072,552
37,436359168,586
38,436363264,591
39,436367360,617
40,436371456,566
41,436375552,582
42,436379648,638
43,436383744,637
44,436387840,590
45,436391936,556
46,436396032,585
47,436400128,590
48,436404224,570
49,436408320,593
50,436412416,593
51,436416512,592
52,436420608,591
53,436424704,565
54,436428800,595
55,436432896,560
56,436436992,554
57,436441088,595
58,436445184,589
59,436449280,610
60,436453376,566
61,436457472,589
62,436461568,631
63,436465664,602
64,436469760,589
65,436473856,556
66,436477952,584
67,436482048,590
68,436486144,594
69,436490240,590
70,436494336,589
71,436498432,590
72,436502528,588
73,436506624,573
74,436510720,603
75,436514816,566
76,436518912,552
77,436523008,588
78,436527104,589
79,436531200,611
80,436535296,568
81,436539392,589
82,436543488,634
83,436547584,646
84,436551680,597
85,436555776,587
86,436559872,594
87,436563968,594
88,436568064,596
89,436572160,648
90,436576256,596
91,436580352,592
92,436584448,593
93,436588544,569
94,436592640,592
95,436596736,597
96,436600832,601
97,436604928,601
98,436609024,597
99,436613120,594
100,436617216,593
101,436621312,569
102,436625408,593
103,436629504,558
104,436633600,594
105,436637696,596
106,436641792,598
107,436645888,594
108,436649984,558
109,436654080,590
110,436658176,593
111,436662272,595
112,436666368,595
113,436670464,560
114,436674560,593
115,436678656,593
116,436682752,602
117,436686848,594
118,436690944,562
119,436695040,592
120,436699136,604
121,436703232,565
122,436707328,594
123,436711424,600
124,436715520,600
125,436719616,592
126,436723712,614
127,436727808,593
128,436731904,662
129,436736000,593
130,436740096,596
131,436744192,569
132,436748288,597
133,436752384,593
134,436756480,598
135,436760576,597
136,436764672,597
137,436768768,595
138,436772864,593
139,436776960,595
140,436781056,593
141,436785152,558
142,436789248,593
143,436793344,595
144,436797440,595
145,436801536,593
146,436805632,595
147,436809728,594
148,436813824,597
149,436817920,596
150,436822016,593
151,436826112,568
152,436830208,592
153,436834304,596
154,436838400,595
155,436842496,595
156,436846592,597
157,436850688,595
158,436854784,592
159,436858880,595
160,436862976,592
161,436867072,628
162,436871168,594
163,436875264,594
164,436879360,570
165,436883456,597
166,436887552,595
167,436891648,600
168,436895744,596
169,436899840,593
170,436903936,593
171,436908032,594
172,436912128,595
173,436916224,595
174,436920320,558
175,436924416,592
176,436928512,594
177,436932608,594
178,436936704,595
179,436940800,597
180,436944896,596
181,436948992,595
182,436953088,595
183,436957184,593
184,436961280,564
185,436965376,592
186,436969472,597
187,436973568,595
188,436977664,593
189,436981760,596
190,436985856,596
191,436989952,595
192,436994048,593
193,436998144,594
194,437002240,626
195,437006336,593
196,437010432,617
197,437014528,571
198,437018624,595
199,437022720,601
200,437026816,629
201,437030912,596
202,437035008,606
203,437039104,595
204,437043200,596
205,437047296,594
206,437051392,591
207,437055488,653
208,437059584,593
209,437063680,613
210,437067776,569
211,437071872,596
212,437075968,596
213,437080064,600
214,437084160,596
215,437088256,592
216,437092352,595
217,437096448,593
218,437100544,595
219,437104640,592
220,437108736,558
221,437112832,592
222,437116928,595
223,437121024,598
224,437125120,593
225,437129216,595
226,437133312,596
227,437137408,596
228,437141504,594
229,437145600,596
230,437149696,650
231,437153792,592
232,437157888,613
233,437161984,570
234,437166080,597
235,437170176,594
236,437174272,602
237,437178368,596
238,437182464,596
239,437186560,593
240,437190656,596
241,437194752,594
242,437198848,593
243,437202944,559
244,437207040,591
245,437211136,596
246,437215232,593
247,437219328,595
248,437223424,603
249,437227520,594
250,437231616,594
251,437235712,596
252,437239808,592
253,437243904,656
254,437248000,595
255,437252096,615
